customer_id,age,annual_income,spending_score,total_purchases,avg_purchase_value,customer_lifetime_value,registration_date,last_purchase_date,customer_type,preferred_categories
1,56,70990,80,96,247.98,20263.13,2021-10-12 00:14:41.330575,2024-02-13 00:14:41.330575,New,Electronics
2,69,149473,59,75,318.78,22450.15,2023-11-07 00:14:41.330575,2024-03-20 00:14:41.330575,New,"Sports, Home & Garden, Books"
3,46,78141,84,86,263.49,22074.54,2023-06-12 00:14:41.330575,2024-07-08 00:14:41.330575,Regular,"Books, Electronics"
4,32,174865,6,22,40.48,853.5,2023-02-02 00:14:41.330575,2023-06-10 00:14:41.330575,Regular,"Books, Clothing, Beauty"
5,60,76570,19,89,971.82,92349.51,2024-04-16 00:14:41.330575,2024-05-23 00:14:41.330575,Regular,"Beauty, Home & Garden"
6,25,188964,57,22,228.54,5816.04,2023-12-05 00:14:41.330575,2024-08-06 00:14:41.330575,Regular,Electronics
7,78,21015,69,92,736.69,62517.5,2020-01-26 00:14:41.330575,2024-05-23 00:14:41.330575,New,Clothing
8,38,81813,3,29,764.97,22644.47,2023-02-18 00:14:41.330575,2023-05-14 00:14:41.330575,Regular,"Beauty, Clothing, Books"
9,56,47712,1,13,929.96,13489.0,2022-02-11 00:14:41.330575,2023-08-20 00:14:41.330575,New,Electronics
10,75,120497,58,82,40.24,3189.1,2020-08-11 00:14:41.330575,2024-06-09 00:14:41.330575,VIP,"Clothing, Electronics, Beauty"
11,36,159487,38,2,873.33,1514.79,2024-07-10 00:14:41.330575,2024-07-15 00:14:41.330575,VIP,"Sports, Home & Garden, Beauty"
12,40,132816,15,29,531.95,15271.98,2022-07-27 00:14:41.330575,2024-05-13 00:14:41.330575,VIP,"Home & Garden, Electronics, Books"
13,28,148778,34,85,636.22,44457.5,2021-08-04 00:14:41.330575,2024-07-13 00:14:41.330575,VIP,Beauty
14,28,82292,61,79,648.03,60253.39,2019-09-03 00:14:41.330575,2020-05-01 00:14:41.330575,New,Beauty
15,41,43833,35,52,821.6,35457.2,2020-02-02 00:14:41.330575,2023-09-11 00:14:41.330575,New,Sports
16,70,155230,64,27,340.07,8955.86,2020-11-04 00:14:41.330575,2023-05-12 00:14:41.330575,Regular,"Electronics, Sports"
17,53,40309,25,50,735.72,37225.68,2021-01-22 00:14:41.330575,2021-10-14 00:14:41.330575,VIP,"Electronics, Home & Garden"
18,57,26970,24,95,533.29,60497.24,2022-10-26 00:14:41.330575,2023-02-22 00:14:41.330575,New,"Home & Garden, Beauty"
19,41,92474,12,79,795.46,54446.29,2021-01-05 00:14:41.330575,2022-12-17 00:14:41.330575,New,"Electronics, Home & Garden, Clothing"
20,20,66540,18,23,990.64,19270.69,2023-10-17 00:14:41.330575,2024-06-20 00:14:41.330575,VIP,Books
21,39,171456,15,88,208.64,14752.2,2020-08-12 00:14:41.330575,2020-10-20 00:14:41.330575,New,"Beauty, Clothing, Electronics"
22,70,38017,80,44,994.7,37736.99,2024-06-29 00:14:41.330575,2024-07-19 00:14:41.330575,Regular,Electronics
23,19,95880,27,77,98.91,6724.3,2020-04-10 00:14:41.330575,2020-06-05 00:14:41.330575,Regular,Books
24,41,125570,72,22,12.29,284.5,2021-08-25 00:14:41.330575,2021-10-02 00:14:41.330575,New,Electronics
25,61,28702,60,43,53.72,2050.97,2022-07-17 00:14:41.330575,2023-10-02 00:14:41.330575,New,"Clothing, Books, Sports"
26,47,151456,46,37,348.36,10417.26,2021-02-11 00:14:41.330575,2023-12-19 00:14:41.330575,Regular,"Beauty, Electronics"
27,55,20404,89,61,636.58,43904.6,2022-12-21 00:14:41.330575,2023-12-07 00:14:41.330575,Regular,"Sports, Beauty, Books"
28,19,192015,17,97,78.34,7190.45,2023-11-03 00:14:41.330575,2024-08-26 00:14:41.330575,VIP,"Clothing, Beauty"
29,77,198998,93,56,15.61,823.0,2021-12-21 00:14:41.330575,2022-09-29 00:14:41.330575,Regular,Home & Garden
30,38,180261,53,3,937.72,2590.9,2024-03-24 00:14:41.330575,2024-06-05 00:14:41.330575,New,Clothing
31,50,32763,8,63,823.71,61761.29,2022-08-03 00:14:41.330575,2022-11-20 00:14:41.330575,Regular,"Books, Sports"
32,29,169456,79,19,811.09,13377.21,2020-12-26 00:14:41.330575,2023-10-08 00:14:41.330575,Regular,"Beauty, Home & Garden"
33,75,118142,27,23,885.58,23612.92,2022-03-20 00:14:41.330575,2022-09-15 00:14:41.330575,New,Electronics
34,39,160932,46,29,703.03,22645.24,2024-07-09 00:14:41.330575,2024-08-19 00:14:41.330575,Regular,"Beauty, Clothing, Sports"
35,78,100642,50,30,113.36,2824.68,2022-01-21 00:14:41.330575,2023-07-18 00:14:41.330575,New,"Beauty, Sports, Books"
36,61,70612,71,39,405.11,18875.28,2023-09-04 00:14:41.330575,2024-04-24 00:14:41.330575,New,Electronics
37,42,43574,3,25,725.92,16488.3,2023-07-29 00:14:41.330575,2024-05-05 00:14:41.330575,New,Electronics
38,66,43524,93,8,287.53,1930.9,2023-12-20 00:14:41.330575,2024-01-13 00:14:41.330575,Regular,"Clothing, Books"
39,44,30916,64,58,690.53,45326.45,2020-08-12 00:14:41.330575,2022-12-02 00:14:41.330575,Regular,"Electronics, Clothing, Sports"
40,76,24809,44,16,34.25,593.3,2019-10-17 00:14:41.330575,2021-12-15 00:14:41.330575,Regular,Beauty
41,80,183273,53,72,313.08,23598.69,2024-03-29 00:14:41.330575,2024-05-24 00:14:41.330575,Regular,"Home & Garden, Clothing"
42,59,164528,24,1,553.64,477.45,2019-09-23 00:14:41.330575,2020-03-20 00:14:41.330575,VIP,"Beauty, Clothing, Sports"
